"wkt","typ"
"LINESTRING (16.5665414066286 49.1957992055636,16.566549568885 49.195777980963,16.5665417037742 49.1957414157224,16.566529996364 49.1956533583142,16.5664953444363 49.1955170123117,16.5664591951207 49.195343033191,16.5664345501775 49.1951556741858,16.5664150901044 49.1948997168939,16.5664164166612 49.1947983885273,16.5664230301342 49.1947025078424,16.566428943561 49.1945548516471,16.5664658111311 49.1943698451377,16.5665403816074 49.1941347839964,16.5666027190965 49.1939921606122,16.5666926035652 49.1938560631441,16.5667487253216 49.1937789218738,16.566855913939 49.1936131227736,16.5669087447842 49.1935651596946,16.5670077948049 49.1934242316772,16.5670769339313 49.1933759086444,16.567244329433 49.1931129743354,16.5673753163728 49.1928596177791,16.5675031249395 49.1925740866551,16.5675945115115 49.1923402228687,16.567644242155 49.1921896018779,16.5676570550575 49.1921169828744,16.5676515628057 49.1920100979048,16.5675823985159 49.1918672374978,16.567455649342 49.1917263614075,16.5674052581222 49.1916522839027,16.5673283324286 49.1915235768052,16.5672311239702 49.1913538702276,16.5671140610208 49.1912245863823,16.5670883594669 49.1911999357804,16.5670717349093 49.1911835383507,16.5670583184992 49.1911617911498,16.5670532393779 49.1911356688491,16.5671422182415 49.1909824163566,16.5671715067209 49.190931762432,16.5671861155031 49.1908623140278,16.5671618743741 49.1907845204726,16.5670056400058 49.1903058340728,16.5668296294849 49.1898881137248,16.5667010449466 49.1896043528224,16.5666504227109 49.1894896891202,16.5665472039675 49.1893469375584,16.5663482456425 49.1889696718842,16.5663174754735 49.188940603036,16.5662787431052 49.1889175595155,16.5662537914182 49.1889000616256,16.5662414730432 49.1888763640081,16.5662431007983 49.1888338823112,16.5662445379215 49.1888088824963,16.5662642391926 49.1887728861245,16.5663200409786 49.1887256423442,16.5663692899111 49.1887039214121,16.5664590903898 49.1886802713483,16.5665946822369 49.1886417535296,16.5667063533954 49.188600517529,16.5667299284193 49.1885901527478,16.5668748182928 49.1885048817113,16.5669142963878 49.1884767596022,16.566979162558 49.188426638385,16.5672216060821 49.1882004644673,16.5672370436102 49.1881831810944,16.5672479350687 49.1881711521894,16.5672628156491 49.1881525613613,16.5672796737718 49.1881232084255,16.5673209352716 49.1880376557849,16.567371171862 49.1879329649199,16.5674087675567 49.1878438549378,16.5674662419218 49.1877211698871,16.5675740141661 49.1875680904848,16.567945865722 49.1871940806213,16.5680998633882 49.1870584921953,16.5685394296949 49.1866749774804,16.5687189853214 49.1864925256723,16.5689510474333 49.18629200687,16.5691385125854 49.1861131605297,16.5692543302147 49.1859674990697,16.5693708053278 49.1858388726344,16.5694929109567 49.1856715993785,16.5695505153071 49.1855970987521,16.569565365521 49.1855821821403,16.5696242190147 49.1855351545195,16.5696845356389 49.1854933021853,16.5698328276841 49.1854130882195,16.569978202502 49.1853364697221,16.5701226448832 49.1852491353232,16.5702223347948 49.1851809272757,16.5703205532243 49.1851110930536,16.570460794893 49.1850024140734,16.5705530533227 49.1849288591214,16.5714800817066 49.1842270922988,16.5717040708025 49.1840985116006,16.571980095925 49.1839406726793,16.57224850804 49.1837914192754,16.5726255442841 49.183574845206,16.572841140321 49.1833848120118,16.5730460536134 49.1831331648966,16.5732111170629 49.1830333497128,16.573341148672 49.1829675527935,16.573495349149 49.1829146324209,16.5741353116111 49.1824976967591,16.5745155448314 49.1822336770103,16.5747017915246 49.1821226899458,16.5749323645052 49.1820102931382,16.5750926065055 49.1819395449776,16.5753250488344 49.1818719061044,16.577037810901 49.1816598371218,16.5770750124058 49.1816373906149,16.5772179084611 49.1814751405751,16.5772332946938 49.1813261314466,16.5772584125491 49.1812117908777,16.5772983056784 49.1811623970319,16.5773665405187 49.1811287114434,16.5774340640879 49.1811086671146,16.577512143185 49.1810949518875,16.5776605671258 49.1811095680492,16.5777815357757 49.1811615316107,16.5780007896568 49.1813066951535,16.5783211664393 49.1815551316927,16.5784087252756 49.1816181728634,16.5785110707329 49.1816634861357,16.5786778282648 49.1816748410272,16.5788228620376 49.1816690569212,16.579329796513 49.1816208082909,16.5794046047272 49.1816175083381,16.579474962449 49.1816270765435,16.5796057276683 49.1816642680261,16.57978402211 49.1817367874122,16.5799222495846 49.1817709594954,16.5800086039974 49.1817773546628,16.5801080858689 49.1817745412807,16.5801982180257 49.1817697951087,16.5802788797021 49.1817755316571,16.5803773969946 49.1817972440419,16.5805011705729 49.1818486432467,16.5807064523319 49.1819263764761,16.5808729270123 49.1819672173486,16.5810334452965 49.1819955228473,16.5812223511443 49.1820179571416,16.5814328130061 49.1820737447118,16.5816571365232 49.1821766639837,16.5819843155546 49.1822704152149,16.5826703117636 49.1824256809567,16.5830153564625 49.1825049789906,16.5834448100347 49.1826024469831,16.5838377033244 49.1827104990124,16.5846526623759 49.1830739909341,16.5847123747284 49.1831094347641,16.5847722005133 49.1831441932948,16.5848463468297 49.183188289532,16.5849136857095 49.1832287819101,16.5850363607185 49.1832992068972,16.5851079380841 49.1833396537247,16.5852773696034 49.1834359345884,16.5853123837805 49.1834512496062,16.585465548975 49.1835163878065,16.5855628458727 49.183556408891,16.5856418863677 49.1835901058297,16.5856961523941 49.1836137221514,16.5857755017829 49.1836519475407,16.5862464084261 49.1838823163959,16.5864084669378 49.1839528517371)","_stezka_C8_C9_C10"
"LINESTRING (16.5864084669378 49.1839528517371,16.5864624865442 49.1839763634668,16.5866590358917 49.1840509959923,16.587086111806 49.1842026741694,16.5874392491611 49.1843329774037,16.5876654071956 49.1844204582334,16.5879444012429 49.1845290254524,16.5881986235647 49.1846210989396,16.5882708183713 49.1846482409164,16.5883693853431 49.184685402927,16.5884729245957 49.184724478056,16.5885731320984 49.184758116484,16.5886806917528 49.1847864705546,16.5887451932285 49.1847993725829,16.588804404582 49.1848106854565,16.5888967164471 49.1848233097264,16.5889665892604 49.1848293133314,16.5891069297154 49.1848377227349,16.5892574063714 49.1848471986508,16.5894706298868 49.1848593981957,16.589728255383 49.1848749245922,16.5899511492419 49.184887810125,16.590077433534 49.1848948732693,16.5902184896807 49.1849077520364,16.5903770531154 49.1849314938844,16.590546182997 49.1849584992518,16.5906534058106 49.1849753010268,16.5907337592547 49.1849882877592,16.5907948160873 49.1849964373698,16.5908773618511 49.1850025598505,16.5909670503201 49.1850054629594,16.591119141848 49.1850051712903,16.5912437757778 49.1850062227156,16.5913092301304 49.1850037645898,16.5913645502972 49.1850146264208,16.5913953988246 49.1850327634774,16.5913940568684 49.1850728806104,16.5913834715203 49.1851241277172,16.5913967476596 49.1852165884856,16.5914201994344 49.1852986787916,16.5914607959333 49.1854402253085,16.5915020505567 49.1855585923865,16.5915098780134 49.1855976273778,16.5915063800172 49.1856219917467,16.5914949291014 49.1856432780681)","_Zona30_pesi_obytna"
"LINESTRING (16.6136168733067 49.1967192625059,16.6126598433025 49.196362615403)","_Zona30_pesi_obytna"
"LINESTRING (16.6126598431054 49.1963626153295,16.6124181291667 49.1962725360666,16.6096470049222 49.1957664121281)","_Zona30_pesi_obytna"
"LINESTRING (16.5671584814422 49.2375799280714,16.5672693562465 49.2375215587927,16.5673559392571 49.2374735079948,16.5674354076554 49.2374380930701,16.5674949864276 49.2374116671402,16.567608988327 49.2373798043463,16.5678795941363 49.2373415605937,16.5681029456404 49.2373109061099,16.5685475477582 49.2372773734387,16.5687107268186 49.2372616026578,16.5688720710817 49.2372216072633,16.5689784535223 49.2371902963497,16.5690856071375 49.2371442553383,16.5691768405722 49.2370883203449,16.5692448603257 49.2370362098588,16.5693562862546 49.2369543317737,16.5694626974988 49.2368573120328,16.5695761138972 49.2367432677234,16.5697201261144 49.2366111389477,16.5699477693697 49.2364285572781,16.5700975308466 49.2363121695416,16.570147944156 49.2362905663744,16.5701896010726 49.2362108437367,16.5702739531025 49.2361812503714,16.5704465072501 49.2361694297768,16.5705811110053 49.2361242448685,16.5712069626972 49.2357591623615,16.5716200281468 49.2355476010411,16.5719760967416 49.2353166528378,16.5724704259947 49.2350385866814,16.5729629083958 49.2347350616675,16.5733762790997 49.2345114700124,16.5743685697042 49.2340138901606,16.5746597015394 49.2338768955637,16.5748940377505 49.2337596707034,16.5751325112933 49.233637657684,16.5752429241341 49.2335542139656,16.5753604382799 49.2334607172698,16.5758226526272 49.2330659115765,16.5766828255758 49.2318578938041,16.5769052782821 49.2315272224559,16.5769933523494 49.2313956286198,16.5771485341893 49.2311883098725,16.57724961338 49.2310728356525,16.5773694305093 49.2309603358818,16.5775020678173 49.230847044627,16.5776229431283 49.230756489705,16.5777386349392 49.2306780461708,16.5779117543734 49.2305724841821,16.5780211268345 49.2305130044496,16.5781030830618 49.2304720293598,16.5782312895601 49.230413887941,16.5783127344975 49.2303759963568,16.5786237593972 49.230255967313,16.5790630488173 49.2300933992611,16.579374435301 49.2299775540875,16.5796086960537 49.2298895076271,16.5797937502524 49.2298204975163,16.579914904992 49.2297729466207,16.580054516205 49.2297194270647,16.5801779457641 49.2296741175287,16.5803354454718 49.22961805537,16.5804384954965 49.2295775375604,16.5806406738061 49.2295041962976,16.5809107843086 49.2294010147503,16.5811093557533 49.2293270698568,16.5811932547098 49.2292935107954,16.5812662361398 49.2292619493796,16.5813000542183 49.2292463254518)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.5826935605293 49.2252644440598,16.5822142239926 49.2251296320751,16.580983943768 49.2247635114708)","_Zona30_pesi_obytna"
"LINESTRING (16.580983943768 49.2247635114708,16.5805738544033 49.2246414683517,16.5804095101952 49.2245791782427,16.5802321982379 49.2245216863481,16.5800302988323 49.2245135797038,16.5797763964493 49.2244327914748,16.5797891167098 49.2244167089264,16.5799096583436 49.2244526610247,16.5799312913468 49.2244275052536,16.5792580809699 49.2242132668422,16.5792389503985 49.2242025474091,16.5792294244008 49.2241905605564)","_stezka_C8_C9_C10"
"LINESTRING (16.5792294244008 49.2241905605564,16.5792262490693 49.2241865649386,16.5792240322868 49.2241695942518,16.5792343717402 49.2241391293839,16.5792777270787 49.2240818911524,16.5793015515809 49.2240451046922,16.5793414251827 49.2239817257464,16.5793624935713 49.2239312235658,16.5793853564372 49.2238347427591,16.5793863800148 49.2237774428092,16.5793949153467 49.2237610629009,16.5794096144869 49.2237458143518,16.5795004341877 49.2236864025373,16.5795374519724 49.2236578335453,16.5795665984594 49.2236224652482,16.5795957278161 49.2235680292809,16.5796099509122 49.2235205072546,16.5796023566219 49.2234513283599,16.5795774156986 49.2234037964732,16.5795380302521 49.2233476114999,16.5794852711646 49.2232890894526,16.579376667147 49.2231488300136)","_Zona30_pesi_obytna"
"LINESTRING (16.5725425898455 49.2242043075508,16.5722231045678 49.2242843595975,16.571996051563 49.2243490333967,16.5718967951667 49.2244075972912,16.5718409411836 49.2244502782984,16.571720283018 49.2245788739533,16.5716965807684 49.2246081205384)","_Zona30_pesi_obytna"
"LINESTRING (16.5716965807684 49.2246081205384,16.5716254738516 49.2246958602637,16.5714995720686 49.2248395717369,16.5713928488679 49.2249686821685,16.5712598907837 49.22510440784,16.5712173543629 49.2251432559769,16.5711227270782 49.2252273614182,16.5709981252038 49.2253213763024,16.5708993851215 49.2253752052267,16.5707523631191 49.2254409917745,16.5702153272769 49.2256810101031,16.570093046772 49.2257367134672,16.5698128024919 49.225853187769,16.569785887226 49.2258614150255,16.5696427781789 49.2259166503126,16.5695694692984 49.2259525103848,16.5694790927939 49.2259932413852,16.5694262446868 49.2260224433944,16.569383178341 49.2260533555756,16.5693497275086 49.2260869803294,16.5692992943247 49.2261483020245,16.5692339931604 49.2262572483672,16.5691388854917 49.2264198559877,16.5690390194577 49.2265831392214,16.5689564660397 49.226693393495,16.5688910442788 49.2267703832329,16.5687724894828 49.2268689478214,16.568576362314 49.2269777130411,16.568377770533 49.2270639897598,16.5681734192922 49.2271103017349,16.5678832269203 49.2271606470326,16.5675785266081 49.2271957600946,16.5671279962782 49.2272417927059,16.5668622733609 49.2272893130031,16.5665909772838 49.2273470854109,16.5663641317349 49.2274029498608,16.5662325267953 49.2274681283037,16.566128038154 49.2275332082161,16.5659537802409 49.2276967728954,16.5658389189282 49.22779635859,16.5657842040362 49.2278507819422,16.5657447775344 49.227901729484,16.5657018243231 49.2279645966797,16.5656636289279 49.2280267883023,16.5656242360072 49.2281101933908,16.5655856249332 49.228198218136,16.5655625849212 49.228267066741,16.565546033104 49.2283434767483,16.5655450703168 49.2284752573951,16.5655576819011 49.2285532361439,16.5655639222042 49.228655609879,16.565540998169 49.2287097604932,16.5655022364817 49.2287800255974,16.5654030345651 49.2288505525363,16.5652302992722 49.2289209162863,16.5650782591726 49.228978553819,16.5648311411913 49.2290258732528,16.564473123789 49.2290835535293,16.5641679432638 49.2291307951201,16.563989699181 49.2291596888506,16.5637000899361 49.2291877532909,16.5636700430491 49.2292474819404,16.5635666932544 49.2293942863897,16.563501008779 49.2295194309778,16.5634314638885 49.2296584998824,16.5633742305604 49.2297700469529,16.563315931224 49.2299160018474,16.5632800911255 49.2300665984639,16.5632532693597 49.2301721969287,16.5632263140723 49.2302879281624,16.5632104041765 49.2304490718156,16.5632248752669 49.2305484821895,16.5632761482855 49.2306221143771,16.5633371042825 49.2306933932407,16.563385115696 49.2308053337757,16.563430566541 49.2308673948443,16.563535543844 49.2309813625068,16.5637036829507 49.2311766543714,16.5637598068281 49.2312630558592,16.5638324519913 49.2313338987355,16.5639270832874 49.2314192381327,16.5639901543724 49.2314754536859,16.5640248341683 49.2315207735703,16.5640543396075 49.2315809384752,16.5640701941883 49.2316393709143,16.5640816063904 49.2317152360585,16.5640779120802 49.2317748124033,16.5641045303658 49.231894357523,16.5641576026146 49.2319944870675,16.5642311387977 49.2321346139054,16.56439524826 49.232564157038,16.5644346623597 49.2326486078392,16.5645021610364 49.2327411431188,16.564616644832 49.2328958478966,16.5647560694676 49.2331988832966,16.5648473951343 49.233367152675,16.564898473873 49.2334559832701,16.5649387214217 49.2335354219768,16.5649650763086 49.2336052509036,16.5649721977708 49.2336929810943,16.5649492043143 49.2337755251022,16.5649082749795 49.2338821480847,16.5648851482505 49.2339748248501,16.5648908719888 49.2340523133152,16.5649241819131 49.2341408933136,16.5649033512403 49.2342570606741,16.5649085433303 49.2345616975531,16.5649135692538 49.2349139911279,16.5648446534182 49.2352731924815,16.5648278155956 49.2355519199453,16.5648053868151 49.2356963718545,16.5647321763262 49.2359508024412,16.5646445559803 49.2361240836421,16.5645927545007 49.236286856165)","_ucelova_polni_lesni cesta"
"LINESTRING (16.5823193775337 49.2203483888576,16.5826503641697 49.2204592272351,16.5841147065183 49.2209170142658)","_stezka_C8_C9_C10"
"LINESTRING (16.5883252785142 49.2209534321369,16.5884591155854 49.2209909920287,16.5889925249641 49.221135281605,16.5906891208472 49.2216127590813,16.5907612905487 49.2216275873199,16.5908476712343 49.2216364908949,16.5909463405169 49.2216382933778,16.5912610449897 49.2216266542953,16.5916048596926 49.2216150001369,16.5918972102989 49.2216905171886,16.5924933478631 49.2218108145965,16.5932187299976 49.2219624642935,16.5934216990182 49.2220056365903,16.5936765386853 49.2220583815159,16.594762900224 49.2222834676291,16.5956000577708 49.222462593735)","_Vyhrazeny pruh"
"LINESTRING (16.5841147065183 49.2209170142658,16.5841423732696 49.2209193260445,16.5841640056602 49.2209165292913,16.5841823041876 49.2209082958292,16.5842382869547 49.2208290736124,16.5843220622494 49.2206970530349,16.5844489438421 49.2205060418736,16.584658914272 49.2201935343144,16.5847457564774 49.2200589581154,16.5847798410764 49.2200176997341,16.5847967778545 49.2200033029321,16.5848364147585 49.219984451813,16.5848804285776 49.2199775246629,16.5849466858979 49.2199896836266,16.5859496314928 49.2202834662343,16.5860978878377 49.2203277935958)","_Zona30_pesi_obytna"
"LINESTRING (16.5860978878377 49.2203277935958,16.5862461444479 49.2203721207666,16.5872825006001 49.2206623699508,16.588182977216 49.2209134966205,16.5883210462926 49.2209522444073)","_Vyhrazeny pruh"
"LINESTRING (16.572163554088 49.2124980980665,16.5726547740331 49.2132367454376,16.5731525402651 49.2139943307353,16.5732069971903 49.2140781551481)","_Zona30_pesi_obytna"
"LINESTRING (16.5732069971903 49.2140781551481,16.5732614542999 49.2141619795342,16.5737702239226 49.2149934339907,16.5741854642935 49.2156655660186,16.5744087556271 49.2160284992923)","_Zona30_pesi_obytna"
"LINESTRING (16.5722278995023 49.2125474710358,16.5722307347198 49.2125484500696,16.5722426956666 49.2125497999376,16.5722559899556 49.2125499973819,16.5722834129376 49.2125499527156,16.5723643211984 49.2125327588376,16.5724385524078 49.2125076061912,16.572530895146 49.212474262652,16.5726232036064 49.2124319361811,16.5727128928173 49.2123824385359,16.5727894900776 49.2123200355723,16.572848130586 49.2122625915441,16.572909609602 49.2122041021427,16.5729789591178 49.2121486671767,16.5730372010449 49.2121074093792,16.5731210399791 49.2120587425882,16.573298708226 49.211972347234,16.573513114371 49.2118733481588,16.5737495489411 49.2117631934257,16.574188859493 49.2115569598305,16.574553318836 49.2113888062708,16.5748361892689 49.2112672345374,16.5759216744476 49.2108240692798,16.5769304695725 49.2104437926623,16.577096097615 49.2103817311213,16.577932230461 49.2100645049081,16.5779840455573 49.2100597073985,16.5780186171993 49.2100601697203,16.578053786914 49.2100639174612,16.5780802232626 49.2100657970045,16.5781357446662 49.2100627596611,16.5781502649634 49.2100612974555)","_Zona30_pesi_obytna"
"LINESTRING (16.5781647852597 49.2100598352481,16.5781938258497 49.2100569108278,16.5782154742093 49.2100503426649,16.5782266629339 49.2100414094115,16.5782341533439 49.2100300928611,16.5782646779692 49.209829706035,16.578338987435 49.20962357648,16.5784423230647 49.2093364422143,16.5784754977752 49.2093752210923,16.5784924966792 49.2094036201418,16.5785001374024 49.2094333495115,16.5785087933778 49.2094661445104,16.578513338749 49.2094846778257,16.5785187576589 49.2094967874309,16.5785359167707 49.2095127251417,16.5785671880815 49.209545755937,16.5786006444632 49.2095816860613,16.5786065434108 49.2095989436005,16.5786170030246 49.2096599304179,16.5786278345748 49.2097198211297,16.5786355764967 49.2097380204133,16.5786627356204 49.2098016287886,16.5786872218931 49.2098365469841,16.5787612013134 49.2099301130931,16.5788393138157 49.2100435551105,16.5788740127281 49.2101030221407,16.5789209336978 49.2102197346551,16.5789455492883 49.2103619272473,16.5789668852614 49.2104354115156,16.5789878653922 49.2105087457514,16.5790108221049 49.2105850892117,16.5790255902787 49.2106200648094,16.579045790328 49.2106544287258,16.5790955047812 49.2107105976042,16.5791133674816 49.2107245895665,16.5791382666815 49.2107420751751,16.5791597524797 49.210752582871,16.5791894065 49.2107620497581,16.5791959593377 49.2107621413924,16.579200260021 49.210760888023,16.5792040880899 49.2107590397856,16.5792085747255 49.2107572383629,16.5792123495447 49.2107551368859,16.5792152696359 49.2107535982849,16.5792193835268 49.2107500241866)","_stezka_C8_C9_C10"
"LINESTRING (16.579233487557 49.2107390062161,16.5792381888989 49.2107353335589,16.579252843433 49.21073076257,16.5792715398671 49.2107282250778,16.5792892546582 49.2107258672565,16.5793147000806 49.210722811695,16.5793474137243 49.2107184018831,16.580396238006 49.2105733085146,16.5804346557241 49.210563192216,16.5805520272387 49.2105188996844,16.5811920399456 49.2103834459755,16.5823619901017 49.210096485809,16.5825688144645 49.2100523115215,16.5834555262757 49.2098593772156,16.5836337527879 49.2098246440904,16.5849691397891 49.2095363550705,16.5862314426017 49.2092478498244,16.5864149833538 49.2092154857586,16.586646708721 49.2091496248275,16.5868117267408 49.2090957390691,16.5869422101335 49.2090503762947,16.5870775262042 49.2090011159314,16.5872211473112 49.2089384759673,16.5873402944623 49.2088810824108,16.5874430835272 49.2088305094951,16.5875328514176 49.2087849986217,16.5876574056285 49.2087110260993,16.5878069262242 49.2086196186916,16.5879516581091 49.2085226325985,16.5880926447942 49.2084298705281,16.5882490411904 49.2083337124521,16.5882694734115 49.208311465509,16.5882767070161 49.2082815461563,16.5882696963188 49.2082640856644,16.588258006769 49.2082472907292,16.588237348873 49.2082248699282,16.5882239093957 49.2082094474304,16.5882138066819 49.2081922662689,16.5882199353036 49.2081782333122,16.5884101264694 49.2080365803079,16.5887270821406 49.2078006556333,16.5890809644093 49.2075394137613,16.5897342822629 49.2069697058575,16.5901226381215 49.206601122867,16.5918103396453 49.2051336421623,16.594042783198 49.2044379140378)","_Zona30_pesi_obytna"
"LINESTRING (16.5705331953857 49.2058190463295,16.5704018936541 49.2055425951286,16.5703466700722 49.2054623308478,16.5703037775464 49.2054156230741,16.5702735980997 49.205381794052,16.5702222063798 49.2053312383849,16.5701589698212 49.205276347248,16.5700400563366 49.2051760833628,16.5696817005995 49.2048896443305,16.5694329984766 49.2046858464627)","_Zona30_pesi_obytna"
"LINESTRING (16.5694329984766 49.2046858464627,16.5691698150578 49.2047898459255,16.5688171275495 49.2049009442378)","_stezka_C8_C9_C10"
"LINESTRING (16.5574959271568 49.2094464323512,16.5577999471862 49.2093493116862,16.5583785304328 49.2091489758473,16.5586888649068 49.2090413225268,16.5588958469721 49.208932292347,16.559078895237 49.2086738173331,16.55919624759 49.208278893273,16.559237381077 49.2080861704759,16.5593286519252 49.2078850418736,16.5594711677611 49.2077055333848,16.5598643184271 49.207374185439,16.5602518209904 49.2071502433404,16.5606726277156 49.2069825778588,16.5608838541478 49.2068478933595,16.5609762145346 49.2067686261449,16.5611104708638 49.206620471207,16.5612673649978 49.2065378160043,16.5613664104522 49.2063631945196,16.5613799635044 49.2063182414493,16.5614029593072 49.2061062580595,16.5613875347786 49.2059055125203,16.5612956078942 49.2056334327987,16.5612218624674 49.2054904222168,16.5611951147472 49.2053028450366,16.561218829241 49.2051048881005,16.561304202365 49.2048474375265,16.5614501136515 49.2045923038684,16.5616382349523 49.2043581457503,16.5618152854501 49.2042090466635,16.5624186753746 49.2038587320411,16.5632394418595 49.20354623711,16.5635796523147 49.2034621901141,16.5639684457728 49.2033492107992,16.56424089151 49.2032649625362,16.5645049611015 49.2031375448072,16.5647499419463 49.2030485628181,16.5650833481649 49.2028437142831,16.5653445786344 49.2026736188124,16.5656249656754 49.2025884467277,16.5658193411381 49.2025065018791,16.5659577446639 49.2024469470268,16.566107217393 49.2023545939727,16.5662152499364 49.2022866666322,16.5662655437727 49.2022678119418)","_stezka_C8_C9_C10"
"LINESTRING (16.5662655672163 49.2022678233914,16.5663645402329 49.2021808090192,16.5664264080216 49.2020924128641,16.5664520339501 49.2020603878604,16.5664916385495 49.2020059042705,16.5665422155778 49.2019085902475,16.5665593069598 49.201866195551,16.5665766304367 49.2018060684061,16.566596845757 49.2017121705787,16.5665800154025 49.2016176631958,16.5665796764212 49.2014447133209,16.566579760124 49.2012365491444,16.5665880343052 49.2010723264257,16.5665870308026 49.20091504974,16.5665787733162 49.2006335207529,16.5666118984788 49.2005271037558,16.566603634714 49.2003016103734,16.566601552438 49.2001975037873,16.5665949165182 49.2001488554315,16.5665714676149 49.2000102648873,16.5665510958109 49.1998997847103,16.5665089898869 49.1997010403123,16.5664446576441 49.1994706665487,16.5664245456728 49.1994076199555,16.5663786269005 49.1992692040118,16.5663830468746 49.1991888876675,16.5663484367225 49.1991222729837,16.5663021878077 49.1990441800234,16.5662668210727 49.1989681298085,16.566237131877 49.1988765098179,16.5662273359514 49.1987769249414,16.5661778348925 49.198622786723,16.5661618013462 49.1984208276542,16.5661692107438 49.1982174954528,16.566167608028 49.1979891799387,16.5662011021756 49.1977405438375,16.5662328774968 49.1975675988945,16.5662584697132 49.1974576028692,16.5662492732999 49.1973824021324,16.5662729781995 49.1972674541129,16.566333536219 49.1969629344712,16.5663501766768 49.1968733778497)","_stezka_C8_C9_C10"
"LINESTRING (16.5556358117977 49.2083189773055,16.5555665933815 49.2082184499562,16.5555193397991 49.2081115014246,16.5554935567843 49.2080395536601,16.5554669190428 49.2078923642291,16.5554595497552 49.2077945983239,16.5554666582682 49.2077308275388,16.5554805780324 49.2076586677649,16.5555141378777 49.2075591291702,16.5555553469364 49.2074601359482,16.5555968923723 49.207384747837,16.5556629714523 49.2072781460349,16.5557139691513 49.2072087565953,16.5557300527469 49.2071911398285,16.5557530346733 49.2071657741724,16.5557991886354 49.2071208882966,16.5558565598866 49.2070702095838,16.5559378618702 49.2070105874641,16.5559893184255 49.2069757148804,16.5560389121202 49.2069427379503,16.5561413413186 49.2068805650059,16.556420004213 49.2067219251502,16.5567890683051 49.2065129318742,16.5570213448434 49.2063819183432,16.5574680418169 49.2061295203701,16.557965480923 49.2058465072847,16.5583761729295 49.2056151210793,16.5586429479842 49.2054627291842,16.5589823096334 49.2052693623237,16.559389956703 49.2050446022497,16.5596413674178 49.2049101304228,16.5601304409241 49.2046470517974,16.5603320350537 49.2045422449161,16.5605079364523 49.2044523417925,16.5608530015719 49.2042898038858,16.561496904194 49.2040123969592,16.5618385782815 49.203865589108,16.5620710640748 49.2037664666181,16.5624148259085 49.2036203769882,16.5627861170446 49.2034769445205,16.5631880843683 49.2033351891783,16.5634305372327 49.2032545872177,16.5635344952362 49.2032204091422,16.5639237876443 49.2030990474874,16.5643326739997 49.2029691915386,16.5647520585941 49.2028296861646,16.5649649757684 49.2027591484216,16.5652521386173 49.202662076691,16.5654238928986 49.2026040735579,16.5655327199892 49.2025661837282,16.5656348376979 49.2025290837725,16.5657627692336 49.2024763266537,16.5658986482165 49.2024129788784,16.5659896328941 49.2023636757495,16.5660969826157 49.2022996906584,16.5661653285939 49.2022515643695,16.566250921076 49.2021880220527)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.564813861549 49.2041466655417,16.5649884155507 49.2040124153182,16.5651991551425 49.2038528025476,16.5655459351125 49.203589124409,16.5656908256498 49.2034362965633,16.5658215969383 49.2032630052962,16.5659077739316 49.203147406247,16.565968333168 49.203066902784,16.5660479010122 49.202972785412,16.5661655519702 49.2028694059406,16.566257536639 49.2028105980328,16.5663433704415 49.2027613304198,16.5664516811406 49.2027096719803,16.5665598611094 49.2026679825005,16.5666747647884 49.2026362511468,16.566721474749 49.2026207913109,16.5663063058939 49.2022869593222,16.5662887219769 49.2022763255434,16.5662655596088 49.2022678300796)","_Zona30_pesi_obytna"
