"wkt","typ","delka"
"MULTILINESTRING ((16.4976781493774 49.2170438552531,16.4971611074316 49.2164874901349))","jízda cyklistů v protisměru - E12","72.43266641930"
"MULTILINESTRING ((16.4971611074316 49.2164874901349,16.4966373793419 49.2159262542382))","jízda cyklistů v protisměru - E12","73.14893925600"
"MULTILINESTRING ((16.4966373793419 49.2159262542382,16.4962184488592 49.2154585173232,16.4961957250372 49.2154314923427,16.4961340288076 49.2153581013654))","jízda cyklistů v protisměru - E12","73.05410682050"
"MULTILINESTRING ((16.4973729610062 49.2148671860185,16.4974538482117 49.2149532349472,16.4979032960175 49.2154332354587))","jízda cyklistů v protisměru - E12","73.85723096370"
"MULTILINESTRING ((16.4979032960175 49.2154332354587,16.4983675636928 49.2159534664297,16.4984062447581 49.2159968089774))","jízda cyklistů v protisměru - E12","72.59542515190"
"MULTILINESTRING ((16.4984062447581 49.2159968089774,16.4989261408949 49.2165583663953))","jízda cyklistů v protisměru - E12","73.03427277550"
"MULTILINESTRING ((16.4989261408949 49.2165583663953,16.4993902023165 49.2170680893915,16.4994346722104 49.2171169337303))","jízda cyklistů v protisměru - E12","72.32241838060"
"MULTILINESTRING ((16.4990881906421 49.2149670731431,16.4993958503749 49.2148474007892,16.49941913852 49.21483613611,16.4994386228302 49.2148253220984,16.4995105157049 49.2147447230168))","jízda cyklistů v protisměru - E12","40.41617345790"
"MULTILINESTRING ((16.4996031452413 49.2155300823785,16.4991155234882 49.2149969567628,16.4990881906421 49.2149670731431))","jízda cyklistů v protisměru - E12","72.98708515740"
"MULTILINESTRING ((16.5001113371217 49.2160873561749,16.4996031452413 49.2155300823785))","jízda cyklistů v protisměru - E12","72.18661510350"
"MULTILINESTRING ((16.5006207183211 49.2166491449296,16.5001113371217 49.2160873561749))","jízda cyklistů v protisměru - E12","72.66209259280"
"MULTILINESTRING ((16.4989261408949 49.2165583663953,16.4976781493774 49.2170438552531))","jízda cyklistů v protisměru - E12","105.73412410300"
"MULTILINESTRING ((16.4971611074316 49.2164874901349,16.4984062447581 49.2159968089774))","jízda cyklistů v protisměru - E12","105.85276437000"
"MULTILINESTRING ((16.4979032960175 49.2154332354587,16.4966373793419 49.2159262542382))","jízda cyklistů v protisměru - E12","107.28622148200"
"MULTILINESTRING ((16.4996031452413 49.2155300823785,16.5003954898031 49.2152203774556))","jízda cyklistů v protisměru - E12","67.21519270140"
"MULTILINESTRING ((16.5463393663123 49.1795257992055,16.5468358477546 49.1796400290102,16.5472780740815 49.1797339831335))","jízdní pruh pro cyklisty - V14","72.24813344720"
"MULTILINESTRING ((16.5474474978017 49.1797699778146,16.5480370879843 49.1798952362412,16.5482702456357 49.1799375942442,16.5486293754943 49.1800028367251))","piktogramový koridor pro cyklisty - V20","89.98795194030"
"MULTILINESTRING ((16.5493061493587 49.1800063788119,16.5495328169558 49.1799941572853,16.5497335961558 49.1799683277026,16.5498807275965 49.1799401777493,16.5499181500317 49.1799330174138,16.5501116099601 49.1798748236664,16.5502948374259 49.1798009737098,16.5504458925796 49.1797189472164,16.5505696944099 49.1796365129428,16.5507133497345 49.1795209409941,16.5508504001705 49.1793603924171,16.5509259850085 49.1792376095132,16.5509974460658 49.1790682216719,16.5510852829439 49.1788600133047,16.5512088252534 49.1785215657107,16.5512879077889 49.1783045948908,16.5513768140175 49.178108226767,16.5514836545049 49.1779567373299,16.551573365727 49.1778552249723,16.5516670745283 49.1777811350906,16.5518160576616 49.1776890996411,16.5519896350013 49.1776001771529,16.5522276848751 49.1774993908745,16.552229920244 49.1774989163087,16.5523338086378 49.1774768426757,16.5524531192281 49.1774621102607,16.552642894045 49.1774509592511,16.5526536683642 49.1774508525553,16.5532106689735 49.1774453161102,16.5538600560284 49.1774388578225,16.5542000319682 49.1774139081294,16.5544512768971 49.1773773799273,16.5547502908605 49.1773124186332,16.5563231112858 49.1769471957366,16.5578902910264 49.1765825457305,16.5582860617173 49.1765106369449,16.558516062323 49.1764865155906,16.5586850256505 49.1764726948538,16.558849396697 49.1764624360077,16.5592508603805 49.1764634760566,16.5594834347656 49.17647729373,16.5594940546947 49.1764779243802,16.5597671022942 49.1765053538421,16.5599500016882 49.1765430900404,16.5601614466582 49.1765958869926,16.5603145888434 49.1766524866504,16.5604568634912 49.1767155477255,16.5605707579394 49.176775861491,16.5606902804241 49.1768554817239,16.5608041580207 49.1769491723288,16.5609282665216 49.1770879066545,16.5611391036946 49.1773323799252,16.5612866941673 49.1775063198707,16.5613676858208 49.1775944088333,16.5613996983028 49.1776324935108,16.5614678951122 49.1777019869789,16.5615315132264 49.1777573938123,16.5616261201543 49.1778310303888,16.5617854777921 49.1779213133575,16.5619375797236 49.1780000251232,16.5619922117451 49.1780238560285,16.562075547568 49.1780533150663,16.562205468644 49.1780967233161,16.5622432969362 49.1781069095422))","jízdní pruh pro cyklisty - V14","1209.33880055000"
"MULTILINESTRING ((16.5623483226719 49.1781338066802,16.5624877948883 49.1781666075698,16.5624917589115 49.1782200781951,16.5625567487777 49.1782134036303,16.5627829262699 49.1782364901815,16.5632438852284 49.178265726711,16.5634446761087 49.1782656197073,16.5634580430209 49.178265612644,16.5636144683658 49.1782558658288,16.5636221366952 49.1782553938149,16.5638353782746 49.1782422650147,16.5638391797986 49.1782420302927,16.5640079478308 49.1782280337486))","piktogramový koridor pro cyklisty - V20","127.92575236900"
"MULTILINESTRING ((16.5640393427309 49.1782254299476,16.5641096059594 49.1782196025112,16.5644168240405 49.178185451548))","jízdní pruh pro cyklisty - V14","27.88020170380"
"MULTILINESTRING ((16.5644602884933 49.1781806204915,16.5644968667074 49.1781765542174,16.5647487763087 49.1781651074197,16.5648421502521 49.1781203824001,16.5649080542143 49.1781169285795,16.564986468786 49.1781128148866))","piktogramový koridor pro cyklisty - V20","40.09945253400"
"MULTILINESTRING ((16.5643078891195 49.1781975616208,16.5641096059594 49.1782196025112,16.5640393427309 49.1782254299476,16.5640079478308 49.1782280337485,16.5638391797986 49.1782420302927,16.5638353782746 49.1782422650147,16.5636221366952 49.1782553938149,16.5636144683658 49.1782558658288,16.5635435123879 49.1782602867624))","piktogramový koridor pro cyklisty - V20","56.18451011730"
"MULTILINESTRING ((16.5635220547506 49.1782616240148,16.5634580430209 49.1782656126439,16.5634446761086 49.1782656197072,16.5632438852284 49.178265726711,16.5627829262699 49.1782364901815,16.5627053203633 49.1782285688056))","jízdní pruh pro cyklisty - V14","59.78879772430"
"MULTILINESTRING ((16.5626964767709 49.1782276661835,16.5625567487777 49.1782134036303,16.5624917589115 49.1782200781951,16.5624313390971 49.1782507779266,16.5623054596211 49.1782209816828))","piktogramový koridor pro cyklisty - V20","30.43491845210"
